Id,Año,Mes,Día,Rango de hora,Sexo,Rango de edad,Lugar,Provincia
175,2011,Julio,Lunes,12:00-17:59,Mujer,30-34,Otros,Santo Domingo
176,2011,Julio,Martes,18:00-23:59,Mujer,0-4,Piscina,Puerto Plata
177,2011,Julio,Viernes,12:00-17:59,Hombre,25-29,Mar,Santo Domingo
178,2011,Julio,Viernes,12:00-17:59,Hombre,0-4,Otros,Monseñor Nouel
179,2011,Julio,Sábado,12:00-17:59,Mujer,45-49,Mar,Puerto Plata
180,2011,Julio,Domingo, 6:00-11:59,Hombre,55-59,Canal,Monte Cristi
181,2011,Julio,Miércoles, 6:00-11:59,Hombre,45-49,Canal,Monte Cristi
182,2011,Julio,Jueves,12:00-17:59,Hombre,60-64,Mar,San Pedro de Macorís
183,2011,Julio,Jueves,12:00-17:59,Mujer,55-59,Mar,Santo Domingo
184,2011,Julio,Jueves,18:00-23:59,Hombre,25-29,Río,Santo Domingo
185,2011,Julio,Domingo, 6:00-11:59,Hombre,30-34,Río,Santiago
186,2011,Julio,Domingo, 6:00-11:59,Hombre,25-29,Pozo,Espaillat
187,2011,Julio,Domingo,12:00-17:59,Mujer,0-4,Cisterna,La Altagracia
188,2011,Julio,Lunes, 6:00-11:59,Hombre,14-Oct,Río,Azua
189,2011,Julio,Lunes,12:00-17:59,Hombre,0-4,Piscina,Santo Domingo
190,2011,Julio,Martes,12:00-17:59,Hombre,50-54,Mar,La Altagracia
191,2011,Julio,Miércoles, 6:00-11:59,Hombre,55-59,Mar,Barahona
192,2011,Julio,Miércoles, 6:00-11:59,Mujer,0-4,Cisterna,Valverde
193,2011,Julio,Miércoles,12:00-17:59,Hombre,20-24,Río,Azua
194,2011,Julio,Miércoles,12:00-17:59,Hombre,15-19,Río,Dajabón
195,2011,Agosto,Martes,18:00-23:59,Mujer,9-May,Piscina,Hermanas Mirabal
196,2011,Agosto,Jueves, 6:00-11:59,Hombre,N/D,Río,San Juan
197,2011,Agosto,Jueves,12:00-17:59,Hombre,20-24,Otros,Santo Domingo
198,2011,Agosto,Viernes, 6:00-11:59,Hombre,20-24,Río,La Altagracia
199,2011,Agosto,Viernes, 6:00-11:59,Hombre,15-19,Río,La Altagracia
200,2011,Agosto,Viernes, 6:00-11:59,Hombre,20-24,Mar,Peravia
201,2011,Agosto,Viernes,12:00-17:59,Hombre,45-49,Río,Santo Domingo
202,2011,Agosto,Viernes,12:00-17:59,Hombre,20-24,Otros,La Romana
203,2011,Agosto,Viernes,18:00-23:59,Mujer,9-May,Cisterna,Santo Domingo
204,2011,Agosto,Sábado,12:00-17:59,Hombre,30-34,Mar,La Altagracia
205,2011,Agosto,Domingo,12:00-17:59,Hombre,20-24,Río,Santiago
206,2011,Agosto,Domingo,12:00-17:59,Hombre,9-May,Mar,Puerto Plata
207,2011,Agosto,Domingo,18:00-23:59,Mujer,20-24,Mar,San Cristóbal
208,2011,Agosto,Lunes,12:00-17:59,Hombre,0-4,Cubeta,Santo Domingo
209,2011,Agosto,Lunes,18:00-23:59,Hombre,40-44,Río,El Seybo
210,2011,Agosto,Martes,12:00-17:59,Hombre,30-34,Canal,Monte Cristi
211,2011,Agosto,Viernes,12:00-17:59,Hombre,15-19,Río,Santo Domingo
212,2011,Agosto,Sábado,12:00-17:59,Mujer,9-May,Mar,Santo Domingo
213,2011,Agosto,Sábado,12:00-17:59,Hombre,0-4,Canal,Elías Pina
214,2011,Agosto,Domingo,12:00-17:59,Hombre,20-24,Río,Azua
215,2011,Agosto,Martes,12:00-17:59,Hombre,14-Oct,Río,Espaillat
216,2011,Agosto,Martes,12:00-17:59,Hombre,15-19,Río,Espaillat
217,2011,Agosto,Miércoles,12:00-17:59,Hombre,20-24,Río,María Trinidad Sánchez
218,2011,Agosto,Jueves, 6:00-11:59,Hombre,40-44,Canal,San Juan
219,2011,Agosto,Jueves,12:00-17:59,Hombre,55-59,Río,Monte Plata
220,2011,Agosto,Jueves,12:00-17:59,Hombre,N/D,Otros,Santiago
221,2011,Agosto,Jueves,18:00-23:59,Hombre,35-39,Canal,Bahoruco
222,2011,Agosto,Viernes,12:00-17:59,Hombre,15-19,Río,San Cristóbal
223,2011,Agosto,Domingo,12:00-17:59,Hombre,15-19,Río,Azua
224,2011,Agosto,Martes, 6:00-11:59,Hombre,30-34,Río,San Cristóbal
225,2011,Agosto,Miércoles,12:00-17:59,Hombre,40-44,Río,San Cristóbal
226,2011,Agosto,Miércoles,18:00-23:59,Hombre,70-74,Otros,Monte Plata
227,2011,Agosto,Jueves, 6:00-11:59,Hombre,N/D,Río,San José de Ocoa
228,2011,Agosto,Jueves, 6:00-11:59,Mujer,14-Oct,Otros,Santo Domingo
229,2011,Agosto,Jueves, 6:00-11:59,Mujer,15-19,Río,San Cristóbal
230,2011,Agosto,Jueves,12:00-17:59,Hombre,20-24,Cisterna,La Altagracia
231,2011,Agosto,Viernes, 6:00-11:59,Hombre,15-19,Río,San Cristóbal
232,2011,Agosto,Viernes, 6:00-11:59,Hombre,N/D,Canal,Sánchez Ramírez
233,2011,Agosto,Viernes, 6:00-11:59,Hombre,9-May,Río,La Vega
234,2011,Agosto,Viernes,12:00-17:59,Hombre,N/D,Río,El Seybo
235,2011,Agosto,Viernes,12:00-17:59,Hombre,35-39,Río,San Cristóbal
236,2011,Agosto,Sábado,12:00-17:59,Hombre,35-39,Mar,Santo Domingo
237,2011,Agosto,Domingo,12:00-17:59,Hombre,20-24,Río,La Altagracia
238,2011,Agosto,Lunes,18:00-23:59,Hombre,60-64,Río,San Juan
239,2011,Agosto,Martes, 6:00-11:59,Hombre,30-34,Canal,Valverde
240,2011,Agosto,Martes,12:00-17:59,Hombre,N/D,Mar,Samaná
241,2011,Agosto,Martes,12:00-17:59,Hombre,N/D,Mar,Samaná
242,2011,Agosto,Martes,12:00-17:59,Hombre,N/D,Mar,Samaná
243,2011,Agosto,Martes,18:00-23:59,Hombre,15-19,Río,Santo Domingo
244,2011,Agosto,Martes,18:00-23:59,Hombre,15-19,Río,Santo Domingo
245,2011,Agosto,Martes,18:00-23:59,Mujer,9-May,Río,San Cristóbal
246,2011,Septiembre,Jueves,12:00-17:59,Hombre,45-49,Mar,Puerto Plata
247,2011,Septiembre,Sábado, 6:00-11:59,Hombre,30-34,Cisterna,Santo Domingo
248,2011,Septiembre,Domingo, 6:00-11:59,Hombre,25-29,Río,Santiago
249,2011,Septiembre,Domingo, 6:00-11:59,Hombre,30-34,Río,Barahona
250,2011,Septiembre,Miércoles,12:00-17:59,Mujer,0-4,Cubeta,Santiago
251,2011,Septiembre,Miércoles,12:00-17:59,Hombre,9-May,Río,San Cristóbal
252,2011,Septiembre,Viernes,12:00-17:59,Hombre,65-69,Mar,Puerto Plata
253,2011,Septiembre,Viernes,18:00-23:59,Mujer,30-34,Canal,San Juan
254,2011,Septiembre,Sábado,12:00-17:59,Mujer,0-4,Río,Santiago
255,2011,Septiembre,Domingo, 6:00-11:59,Hombre,20-24,Río,San Cristóbal
256,2011,Septiembre,Domingo,12:00-17:59,Hombre,40-44,Otros,Barahona
257,2011,Septiembre,Domingo,18:00-23:59,Hombre,25-29,Otros,María Trinidad Sánchez
258,2011,Septiembre,Miércoles, 6:00-11:59,Hombre,20-24,Canal,Azua
259,2011,Septiembre,Miércoles,12:00-17:59,Mujer,55-59,Mar,Santo Domingo
260,2011,Septiembre,Jueves,18:00-23:59,Hombre,35-39,Pozo,La Vega
261,2011,Septiembre,Sábado,18:00-23:59,Hombre,50-54,Río,Sánchez Ramírez
262,2011,Septiembre,Domingo, 6:00-11:59,Hombre,40-44,Piscina,Santo Domingo
263,2011,Septiembre,Lunes, 6:00-11:59,Hombre,15-19,Mar,Monte Cristi
264,2011,Septiembre,Jueves,12:00-17:59,Hombre,30-34,Río,San Pedro de Macorís
265,2011,Septiembre,Viernes,12:00-17:59,Hombre,35-39,Río,Peravia
266,2011,Septiembre,Viernes,12:00-17:59,Hombre,60-64,Mar,Puerto Plata
267,2011,Septiembre,Sábado,12:00-17:59,Hombre,0-4,Cisterna,Duarte
268,2011,Septiembre,Sábado,12:00-17:59,Hombre,45-49,Pozo,Santo Domingo
269,2011,Septiembre,Sábado,18:00-23:59,Hombre,25-29,Río,La Romana
